"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Seltjarnarnesbaer","82 years",26,45,..,3,52,44,2,1
"Seltjarnarnesbaer","83 years",34,36,..,1,43,36,..,4
"Seltjarnarnesbaer","84 years",24,35,..,1,39,44,1,2
"Seltjarnarnesbaer","85 years",26,33,..,2,29,30,..,..
"Seltjarnarnesbaer","86 years",26,34,1,..,33,23,..,..
"Seltjarnarnesbaer","87 years",16,30,..,2,22,28,..,..
"Seltjarnarnesbaer","88 years",9,21,..,..,17,27,..,3
"Seltjarnarnesbaer","89 years",12,20,1,..,15,26,..,1
"Seltjarnarnesbaer","90 years",12,15,..,..,18,22,..,1
"Seltjarnarnesbaer","91 years",5,13,..,2,7,21,..,4
"Seltjarnarnesbaer","92 years",5,15,..,1,12,7,..,..
"Seltjarnarnesbaer","93 years",2,13,..,1,5,12,..,..
"Seltjarnarnesbaer","94 years",1,8,..,..,6,14,..,1
"Seltjarnarnesbaer","95 years",3,6,1,..,4,10,..,..
"Seltjarnarnesbaer","96 years",1,1,..,..,5,8,..,..
"Seltjarnarnesbaer","97 years",1,1,..,..,1,4,..,..
"Seltjarnarnesbaer","98 years",1,..,..,..,..,3,..,..
"Seltjarnarnesbaer","99 years",..,1,..,..,1,..,..,..
"Seltjarnarnesbaer","100 years",..,1,..,..,..,..,..,..
"Seltjarnarnesbaer","101 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","102 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","103 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","104 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","105 years",..,1,..,..,..,..,..,..
"Seltjarnarnesbaer","106 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","107 years",..,..,..,..,..,..,..,..
"Seltjarnarnesbaer","108 years",..,..,..,..,..,..,..,..
"Gardabaer","In 1st year",..,..,..,..,1,1,..,..
"Gardabaer","1 years",..,..,..,..,1,2,..,..
"Gardabaer","2 years",1,1,..,..,2,..,..,..
"Gardabaer","3 years",1,..,..,..,1,1,..,..
"Gardabaer","4 years",1,..,..,..,..,1,..,..
"Gardabaer","5 years",..,2,..,..,1,..,..,..
"Gardabaer","6 years",2,2,..,..,2,..,..,..
"Gardabaer","7 years",..,..,..,..,1,..,..,..
"Gardabaer","8 years",2,1,..,..,..,3,..,..
"Gardabaer","9 years",2,..,..,..,..,..,..,..
"Gardabaer","10 years",2,2,..,..,1,2,..,1
"Gardabaer","11 years",1,1,..,..,2,2,..,..
"Gardabaer","12 years",1,2,..,..,..,2,..,..
"Gardabaer","13 years",..,2,..,..,..,..,1,..
"Gardabaer","14 years",3,..,..,..,1,2,..,1
"Gardabaer","15 years",4,2,..,..,3,2,..,..
"Gardabaer","16 years",1,..,..,..,1,..,..,..
"Gardabaer","17 years",..,1,..,..,2,1,..,..
"Gardabaer","18 years",2,2,..,..,3,1,..,..
"Gardabaer","19 years",5,2,..,..,3,2,..,..
"Gardabaer","20 years",2,3,..,..,1,..,..,..
"Gardabaer","21 years",1,..,..,..,1,1,..,..
"Gardabaer","22 years",2,1,..,..,1,..,..,..
"Gardabaer","23 years",1,1,..,..,1,1,..,..
"Gardabaer","24 years",..,..,..,..,2,..,..,..
"Gardabaer","25 years",..,..,..,..,..,2,..,..
"Gardabaer","26 years",1,1,..,..,..,1,..,..
"Gardabaer","27 years",1,2,..,..,..,1,..,..
"Gardabaer","28 years",..,2,..,..,1,1,..,..
"Gardabaer","29 years",1,1,..,..,4,4,..,..
"Gardabaer","30 years",..,1,..,..,..,3,1,1
"Gardabaer","31 years",..,1,1,1,3,..,..,..
"Gardabaer","32 years",1,..,..,..,1,2,..,..
"Gardabaer","33 years",..,..,..,..,..,..,..,..
"Gardabaer","34 years",..,..,1,..,..,1,..,..
"Gardabaer","35 years",..,2,..,..,..,..,..,2
"Gardabaer","36 years",1,..,..,1,3,..,..,1
"Gardabaer","37 years",1,..,..,..,..,..,..,1
"Gardabaer","38 years",2,4,1,..,..,1,..,..
"Gardabaer","39 years",..,..,..,..,1,1,..,..
"Gardabaer","40 years",2,1,..,..,2,1,..,1
"Gardabaer","41 years",..,..,1,..,2,2,1,..
"Gardabaer","42 years",1,2,..,..,1,1,1,1
"Gardabaer","43 years",1,4,..,..,..,..,..,1
"Gardabaer","44 years",3,2,..,..,..,1,..,..
"Gardabaer","45 years",2,1,..,..,1,1,..,..
"Gardabaer","46 years",1,2,..,..,3,1,..,..
"Gardabaer","47 years",2,3,..,..,2,3,..,..
"Gardabaer","48 years",2,2,..,1,2,..,..,..
"Gardabaer","49 years",2,1,1,1,4,2,..,..
"Gardabaer","50 years",1,1,..,..,1,..,..,1
"Gardabaer","51 years",3,2,..,..,..,1,..,..
"Gardabaer","52 years",3,3,..,..,3,3,..,..
"Gardabaer","53 years",6,1,1,..,4,2,..,..
"Gardabaer","54 years",2,..,..,..,3,5,1,..
"Gardabaer","55 years",2,3,..,..,1,3,..,..
"Gardabaer","56 years",..,1,..,1,5,3,..,..
"Gardabaer","57 years",1,..,..,..,7,4,1,..
"Gardabaer","58 years",3,1,..,..,4,1,2,1
"Gardabaer","59 years",..,1,..,..,5,2,..,..
"Gardabaer","60 years",3,1,..,..,4,3,..,..
"Gardabaer","61 years",1,2,..,..,2,5,..,..
"Gardabaer","62 years",..,3,..,..,8,..,..,..
"Gardabaer","63 years",3,..,..,..,6,1,..,..
"Gardabaer","64 years",..,..,..,..,2,4,..,..
