Municipality,Age_Group,Background,Year,Sex,Population
Blonduosbaer,35-44,Natives,2011,Females,231
Blonduosbaer,35-44,Natives,2011,Males,243
Blonduosbaer,35-44,Natives,2021,Females,188
Blonduosbaer,35-44,Natives,2021,Males,202
Blonduosbaer,45-54,Immigrants,2011,Females,13
Blonduosbaer,45-54,Immigrants,2011,Males,15
Blonduosbaer,45-54,Immigrants,2021,Females,32
Blonduosbaer,45-54,Immigrants,2021,Males,35
Blonduosbaer,45-54,Natives,2011,Females,305
Blonduosbaer,45-54,Natives,2011,Males,295
Blonduosbaer,45-54,Natives,2021,Females,200
Blonduosbaer,45-54,Natives,2021,Males,232
Blonduosbaer,55-64,Immigrants,2011,Females,12
Blonduosbaer,55-64,Immigrants,2011,Males,7
Blonduosbaer,55-64,Immigrants,2021,Females,10
Blonduosbaer,55-64,Immigrants,2021,Males,23
Blonduosbaer,55-64,Natives,2011,Females,233
Blonduosbaer,55-64,Natives,2011,Males,249
Blonduosbaer,55-64,Natives,2021,Females,280
Blonduosbaer,55-64,Natives,2021,Males,259
Blonduosbaer,65 and over,Immigrants,2011,Females,6
Blonduosbaer,65 and over,Immigrants,2011,Males,5
Blonduosbaer,65 and over,Immigrants,2021,Females,14
Blonduosbaer,65 and over,Immigrants,2021,Males,12
Blonduosbaer,65 and over,Natives,2011,Females,289
Blonduosbaer,65 and over,Natives,2011,Males,283
Blonduosbaer,65 and over,Natives,2021,Females,363
Blonduosbaer,65 and over,Natives,2021,Males,370
Bolungarvikurkaupstadur,0-15,Immigrants,2011,Females,1
Bolungarvikurkaupstadur,0-15,Immigrants,2011,Males,4
Bolungarvikurkaupstadur,0-15,Immigrants,2021,Females,0
Bolungarvikurkaupstadur,0-15,Immigrants,2021,Males,4
Bolungarvikurkaupstadur,0-15,Natives,2011,Females,55
Bolungarvikurkaupstadur,0-15,Natives,2011,Males,67
Bolungarvikurkaupstadur,0-15,Natives,2021,Females,58
Bolungarvikurkaupstadur,0-15,Natives,2021,Males,66
Bolungarvikurkaupstadur,16-24,Immigrants,2011,Females,2
Bolungarvikurkaupstadur,16-24,Immigrants,2011,Males,2
Bolungarvikurkaupstadur,16-24,Immigrants,2021,Females,3
Bolungarvikurkaupstadur,16-24,Immigrants,2021,Males,0
Bolungarvikurkaupstadur,16-24,Natives,2011,Females,34
Bolungarvikurkaupstadur,16-24,Natives,2011,Males,59
Bolungarvikurkaupstadur,16-24,Natives,2021,Females,32
Bolungarvikurkaupstadur,16-24,Natives,2021,Males,26
Bolungarvikurkaupstadur,25-34,Immigrants,2011,Females,2
Bolungarvikurkaupstadur,25-34,Immigrants,2011,Males,3
Bolungarvikurkaupstadur,25-34,Immigrants,2021,Females,7
Bolungarvikurkaupstadur,25-34,Immigrants,2021,Males,6
Bolungarvikurkaupstadur,25-34,Natives,2011,Females,33
Bolungarvikurkaupstadur,25-34,Natives,2011,Males,24
Bolungarvikurkaupstadur,25-34,Natives,2021,Females,27
Bolungarvikurkaupstadur,25-34,Natives,2021,Males,32
Bolungarvikurkaupstadur,35-44,Immigrants,2011,Females,7
Bolungarvikurkaupstadur,35-44,Immigrants,2011,Males,6
Bolungarvikurkaupstadur,35-44,Immigrants,2021,Females,6
Bolungarvikurkaupstadur,35-44,Immigrants,2021,Males,3
Bolungarvikurkaupstadur,35-44,Natives,2011,Females,31
Bolungarvikurkaupstadur,35-44,Natives,2011,Males,35
Bolungarvikurkaupstadur,35-44,Natives,2021,Females,29
Bolungarvikurkaupstadur,35-44,Natives,2021,Males,30
Bolungarvikurkaupstadur,45-54,Immigrants,2011,Females,1
Bolungarvikurkaupstadur,45-54,Immigrants,2011,Males,1
Bolungarvikurkaupstadur,45-54,Immigrants,2021,Females,10
Bolungarvikurkaupstadur,45-54,Immigrants,2021,Males,6
Bolungarvikurkaupstadur,45-54,Natives,2011,Females,44
Bolungarvikurkaupstadur,45-54,Natives,2011,Males,54
Bolungarvikurkaupstadur,45-54,Natives,2021,Females,30
Bolungarvikurkaupstadur,45-54,Natives,2021,Males,39
Bolungarvikurkaupstadur,55-64,Immigrants,2011,Females,1
Bolungarvikurkaupstadur,55-64,Immigrants,2011,Males,2
Bolungarvikurkaupstadur,55-64,Immigrants,2021,Females,0
Bolungarvikurkaupstadur,55-64,Immigrants,2021,Males,3
Bolungarvikurkaupstadur,55-64,Natives,2011,Females,38
Bolungarvikurkaupstadur,55-64,Natives,2011,Males,38
Bolungarvikurkaupstadur,55-64,Natives,2021,Females,54
Bolungarvikurkaupstadur,55-64,Natives,2021,Males,60
Bolungarvikurkaupstadur,65 and over,Immigrants,2011,Females,0
Bolungarvikurkaupstadur,65 and over,Immigrants,2011,Males,0
Bolungarvikurkaupstadur,65 and over,Immigrants,2021,Females,1
Bolungarvikurkaupstadur,65 and over,Immigrants,2021,Males,1
Bolungarvikurkaupstadur,65 and over,Natives,2011,Females,25
Bolungarvikurkaupstadur,65 and over,Natives,2011,Males,32
Bolungarvikurkaupstadur,65 and over,Natives,2021,Females,49
Bolungarvikurkaupstadur,65 and over,Natives,2021,Males,55
Borgarbyggd,0-15,Immigrants,2011,Females,0
Borgarbyggd,0-15,Immigrants,2011,Males,0
Borgarbyggd,0-15,Immigrants,2021,Females,0
Borgarbyggd,0-15,Immigrants,2021,Males,0
Borgarbyggd,0-15,Natives,2011,Females,60
Borgarbyggd,0-15,Natives,2011,Males,76
Borgarbyggd,0-15,Natives,2021,Females,73
Borgarbyggd,0-15,Natives,2021,Males,79
Borgarbyggd,16-24,Immigrants,2011,Females,2
Borgarbyggd,16-24,Immigrants,2011,Males,0
Borgarbyggd,16-24,Immigrants,2021,Females,4
Borgarbyggd,16-24,Immigrants,2021,Males,4
Borgarbyggd,16-24,Natives,2011,Females,42
Borgarbyggd,16-24,Natives,2011,Males,40
Borgarbyggd,16-24,Natives,2021,Females,37
Borgarbyggd,16-24,Natives,2021,Males,34
Borgarbyggd,25-34,Immigrants,2011,Females,7
Borgarbyggd,25-34,Immigrants,2011,Males,0
Borgarbyggd,25-34,Immigrants,2021,Females,9
Borgarbyggd,25-34,Immigrants,2021,Males,7
Borgarbyggd,25-34,Natives,2011,Females,25
Borgarbyggd,25-34,Natives,2011,Males,37
Borgarbyggd,25-34,Natives,2021,Females,27
Borgarbyggd,25-34,Natives,2021,Males,26
Borgarbyggd,35-44,Immigrants,2011,Females,7
Borgarbyggd,35-44,Immigrants,2011,Males,1
Borgarbyggd,35-44,Immigrants,2021,Females,3
Borgarbyggd,35-44,Immigrants,2021,Males,5
Borgarbyggd,35-44,Natives,2011,Females,27
Borgarbyggd,35-44,Natives,2011,Males,29
Borgarbyggd,35-44,Natives,2021,Females,38
Borgarbyggd,35-44,Natives,2021,Males,38
Borgarbyggd,45-54,Immigrants,2011,Females,4
Borgarbyggd,45-54,Immigrants,2011,Males,0
Borgarbyggd,45-54,Immigrants,2021,Females,9
Borgarbyggd,45-54,Immigrants,2021,Males,3
Borgarbyggd,45-54,Natives,2011,Females,40
Borgarbyggd,45-54,Natives,2011,Males,44
Borgarbyggd,45-54,Natives,2021,Females,29
Borgarbyggd,45-54,Natives,2021,Males,38
Borgarbyggd,55-64,Immigrants,2011,Females,1
Borgarbyggd,55-64,Immigrants,2011,Males,0
Borgarbyggd,55-64,Immigrants,2021,Females,6
Borgarbyggd,55-64,Immigrants,2021,Males,0
Borgarbyggd,55-64,Natives,2011,Females,29
Borgarbyggd,55-64,Natives,2011,Males,41
Borgarbyggd,55-64,Natives,2021,Females,45
Borgarbyggd,55-64,Natives,2021,Males,54
Borgarbyggd,65 and over,Immigrants,2011,Females,0
Borgarbyggd,65 and over,Immigrants,2011,Males,1
Borgarbyggd,65 and over,Immigrants,2021,Females,0
Borgarbyggd,65 and over,Immigrants,2021,Males,1
Borgarbyggd,65 and over,Natives,2011,Females,29
Borgarbyggd,65 and over,Natives,2011,Males,36
Borgarbyggd,65 and over,Natives,2021,Females,36
Borgarbyggd,65 and over,Natives,2021,Males,56
Dalabyggd,0-15,Immigrants,2011,Females,2
Dalabyggd,0-15,Immigrants,2011,Males,6
Dalabyggd,0-15,Immigrants,2021,Females,5
Dalabyggd,0-15,Immigrants,2021,Males,4
Dalabyggd,0-15,Natives,2011,Females,85
Dalabyggd,0-15,Natives,2011,Males,90
Dalabyggd,0-15,Natives,2021,Females,62
Dalabyggd,0-15,Natives,2021,Males,63
Dalabyggd,16-24,Immigrants,2011,Females,5
Dalabyggd,16-24,Immigrants,2011,Males,4
Dalabyggd,16-24,Immigrants,2021,Females,8
Dalabyggd,16-24,Immigrants,2021,Males,4
Dalabyggd,16-24,Natives,2011,Females,44
